id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,297,W Polsce badania przesiewowe prowadzi się w kierunku kilku nowotworów. Dla któregoz poniższych nowotworów nie ma programu badań przesiewowych w Polsce?,,rak szyjki macicy.,rak jelita grubego.,rak piersi.,rak prostaty.,wszystkie wyżej wymienione nowotwory są objęte badaniami przesiewowymi.,chirurgia_ogólna,,,,
,298,Która z poniżej wymienionych skal służy do oceny ogólnej sprawności chorych?,,skala Zubroda.,skala Forresta.,skala Apache II.,skala Ransona.,skala SOFA.,chirurgia_ogólna,,,,
,299,38-letni chory z objawami wysokiej niedrożności przewodu pokarmowego na podłożuzwężenia odźwiernika jako powikłania choroby wrzodowej zgłasza się z powoduobfitych wymiotów treścią żołądkową. Jakie zaburzenie wodno-elektrolitowe jest uchorego najbardziej prawdopodobne?,,zasadowica oddechowa.,zasadowica metaboliczna.,kwasica oddechowa.,kwasica metaboliczna.,chory nie powinien z tego powodu mieć zaburzeń wodno-elektrolitowych.,chirurgia_ogólna,,,,
,300,W leczeniu chorych z otyłością olbrzymią wykonywane są operacje bariatryczne. Któraz poniższych chorób jest przeciwwskazaniem do takiego zabiegu operacyjnego?,,choroba wieńcowa.,cukrzyca.,astma oskrzelowa.,nadciśnienie tętnicze.,choroba Leśniowskiego-Crohna.,chirurgia_ogólna,,,,
,301,Uszkodzenie dróg żółciowych na poziomie ostrogi łączącej przewody wątrobowe to wgklasyfikacji Bismutha stopień:,,I.,II.,III.,IV.,V.,chirurgia_ogólna,,,,
,302,"Wskaż prawdziwe stwierdzenia dotyczące postępowania z pacjentami po operacji usunięcia tarczycy:
1) u każdego pacjenta po wycięciu tarczycy należy włączyć substytucję tyroksyny wdawce 1 µg/ kg mc. / 24h;
2) u każdego pacjenta po wycięciu tarczycy należy wykonać oznaczenie stężenia TSHok. 6-8 tygodni od operacji;
3) u każdego pacjenta po wycięciu tarczycy należy włączyć substytucję tyroksyny wdawce 3 µg/ kg mc. / 24h;
4) stridor jest częstym powikłaniem po operacji tarczycy i zwykle mija po 24-48godzinach;
5) krwawienie po operacji tarczycy jest niebezpieczne, ponieważ może spowodowaćucisk na drogi oddechowe.
Prawidłowa odpowiedź to:",,"1,2.","2,3,4.","3,4,5.","2,4,5.","1,2,5.",chirurgia_ogólna,,,,
,303,"Przetokę odbytu należy różnicować z poniższymi jednostkami chorobowymi, z wyjątkiem:",,raka odbytu.,zmian zapalnych w chorobie Leśniowskiego-Crohna.,torbieli przedkrzyżowej.,kłykcin kończystych.,przetoki odbytniczo-pochwowej.,chirurgia_ogólna,,,,
,304,"Do izby przyjęć zgłosiła się 56-letnia, otyła kobieta z dolegliwościami bólowymi brzucha, zażółceniem powłok ciała i gorączką z dreszczami. Jakie badanie diagnostyczne należyzalecić?",,dwufazową tomografię komputerową jamy brzusznej.,USG jamy brzusznej.,rezonans magnetyczny jamy brzusznej.,ECPW.,cholangio-NMR.,chirurgia_ogólna,,,,
,305,Stałym elementem wchodzącym w skład zespołu mnogich nowotworów gruczołówdokrewnych typu 2A (MEN2A) jest:,,guz chromochłonny nadnerczy.,nerwiak zwojowy.,prolactinoma.,rak rdzeniasty tarczycy.,gastrinoma.,chirurgia_ogólna,,,,
,306,Do objawów pozajelitowych towarzyszących chorobie Crohna należy/ą:,,zapalenie tęczówki.,rumień guzowaty.,zgorzelinowe zapalenie skóry.,wędrujące zapalenie stawów.,wszystkie wymienione.,chirurgia_ogólna,,,,
,307,Manewr Pringle’a polega na uciśnięciu:,,więzadła wątrobowo-dwunastniczego.,aorty.,tętnicy krezkowej dolnej.,tętnicy krezkowej górnej.,tętnicy śledzionowej.,chirurgia_ogólna,,,,
,2,Wskaż fałszywe stwierdzenie dotyczące łożyska:,C,razem z pępowiną i błonami płodowymi tworzy popłód.,masa łożyska w przybliżeniu stanowi 500g.,o wykształconym łożysku można mówić dopiero w połowie II trymestru.,zraz łożyska to jednostka morfologiczno-czynnościowa łożyska.,żyła pępkowa prawa zanika we wczesnym okresie życia płodowego.,położnictwo_i_ginekologia,,,,
,3,"Do czynników anatomicznych, które mogą być przyczyną poronień, należy zaliczyć:",E,endometriozę miednicy mniejszej.,wrodzone wady macicy.,niewydolność szyjki macicy.,mięśniaki macicy.,wszystkie powyższe.,położnictwo_i_ginekologia,,,,
,4,"Który stopień endometriozy według klasyfikacji Amerykańskiego Towarzystwa Medycyny Rozrodu (American Society for Reproductive Medicine - ASRM) należy rozpoznać u pacjentki z torbielą endometrialną jajnika lewego o śr. 4 cm, częściowąobliteracją zatoki Douglasa oraz powierzchownymi zmianami na otrzewnej o śr. < 1 cm?",C,I.,II.,III.,IV.,V.,położnictwo_i_ginekologia,,,,
,6,"Do czynników obniżających płodność mężczyzn, poprzez hamowanie syntezy testosteronu w jądrach, należy:",E,etanol.,ketokonazol.,spironolakton.,sulfasalazyna.,wszystkie wymienione.,położnictwo_i_ginekologia,,,,
,7,Zakres prawidłowych wartości Indeksu Płynu Owodniowego (AFI - Amniotic Fluid Index) od 5 do 25 cm może być stosowany w odniesieniu do pacjentek:,D,przez cały czas trwania ciąży pojedynczej.,niezależnie od liczby płodów.,tylko po 20. tygodniu ciąży w ciąży pojedynczej.,tylko po 24. tygodniu ciąży w ciąży pojedynczej.,tylko po 32. tygodniu ciąży w ciąży pojedynczej.,położnictwo_i_ginekologia,,,,
,8,Wskazaniem do zakończenia ciąży cięciem cesarskim nie jest:,B,zespół Marfana z poszerzeniem aorty i nieoperowaną koarktacją aorty.,lęk ciężarnej przed porodem.,istotna różnica masy ciała u płodów (> 20%) w ciąży bliźniaczej.,masa ciała płodu > 3500g w położeniu podłużnym miednicowym płodu.,niewydolność serca lub istotne zaburzenia rytmu serca u ciężarnej.,położnictwo_i_ginekologia,,,,
,9,"Na obraz położenia poprzecznego zaniedbanego składają się:
1) zaklinowanie przodującego barku w płaszczyźnie wchodu;
2) przedwczesne odpłynięcie płynu owodniowego;
3) całkowite rozwarcie ujść macicy;
4) nadmierne rozciągnięcie dolnego odcinka macicy;
5) obkurczenie macicy na silnie zgiętym płodzie.
Prawidłowa odpowiedź to:",E,"1,2,3.","1,3,5.","2,4.","3,4,5.",wszystkie wymienione.,położnictwo_i_ginekologia,,,,
,10,Częstość występowania której z wymienionych chorób nie wzrasta w przypadkupacjentek z zespołem Turnera?,B,zeza.,alergii na pyłki traw.,chronicznego zapalenia ucha środkowego.,nadciśnienia tętniczego.,autoimmunologicznej choroby tarczycy.,położnictwo_i_ginekologia,,,,
,11,"Do czynników ryzyka wystąpienia położenia poprzecznego płodu zalicza się:
1) małowodzie;
2) wielowodzie;
3) łożysko przodujące;
4) ciążę wielopłodową;
5) ciążę pojedynczą.
Prawidłowa odpowiedź to:",E,"1,2,3,4.","1,3.","1,2,4,5.","1,3,5.","2,3,4.",położnictwo_i_ginekologia,,,,
,12,35-letnia pacjentka zgłosiła się do poradni ginekologicznej z powodu śródcyklicznychkrwawień z dróg rodnych od około roku. Krwawienie ciemnobrązową krwią rozpoczynało się około 11.-12. dnia cyklu i trwało 2-3 dni. Cykle co 30 dni. Dwa latawcześniej pacjentka przebyła cięcie cesarskie. Najbardziej prawdopodobną przyczynąkrwawień jest:,E,nierozpoznane zaburzenie układu krzepnięcia.,niewydolność ciałka żółtego.,zapalenie przydatków.,okołoowulacyjny wzrost stężenia LH.,defekt blizny myometrium po cięciu cesarskim.,położnictwo_i_ginekologia,,,,
,13,"U pacjentki stwierdzono brak owulacji, trądzik oraz hirsutyzm, co może sugerowaćobecność zespołu policystycznych jajników. Dodatkowo jednak występują rozstępyskórne, bawoli kark i nadciśnienie tętnicze krwi, co pozwala rozpoznać zespół Cushinga. W celu zróżnicowania wymienionych schorzeń należy wykonać:",B,oznaczenie stężenia estradiolu.,test hamowania deksametazonem.,test z metoklopramidem.,oznaczenie stężenia lutropiny.,oznaczenie stężenia folitropiny.,położnictwo_i_ginekologia,,,,
,14,"Któremu stopniowi wg klasyfikacji Quigley odpowiada zespół kompletnej niewrażliwości na androgeny (complete androgen insensitivity syndrome, CAIS)?",C,od 1 do 3.,4,7,6,5,położnictwo_i_ginekologia,,,,
,15,"Wskaż prawdziwe stwierdzenia dotyczące indukcji porodu:
1) w przypadku cholestazy ciężarnych i stężenia kwasów tłuszczowych wynoszącego45 nmol/l należy rozważyć ukończenie ciąży po 34. tygodniu ciąży;
2) w przypadku cukrzycy ciążowej indukcję porodu należy rozważyć po 39. tygodniuciąży;
3) pęknięty pęcherz płodowy stanowi bezwzględne przeciwwskazanie do preindukcji porodu z zastosowaniem prostaglandyn;
4) w przypadku cukrzycy przedciążowej indukcję porodu należy rozważyć po 39. tygodniu ciąży;
5) w ciąży powikłanej cukrzycą indukcja porodu jest zalecana, gdy różnica między przekątną brzucha płodu a wymiarem dwuciemieniowym główki płodu wynosi ponad 4cm.
Prawidłowa odpowiedź to:",D,"1,2,5.","1,2,3.","1,2,3,5.",tylko 2.,"3,4.",położnictwo_i_ginekologia,,,,
,16,Wskazaniem do elektywnego cięcia cesarskiego w ciąży bliźniaczej nie jest:,B,każda sytuacja nieprawidłowego położenia jednego z płodów.,obumarcie II płodu.,zespół TTTS (twin-to-twin syndrome).,istotna różnica masy ciała płodów > 20%.,położenie niegłówkowe I płodu.,położnictwo_i_ginekologia,,,,
,17,"Który z wymienionych dostępów operacyjnych charakteryzuje niewidoczna blizna, korzystniejsze gojenie u kobiet otyłych, bardzo ograniczone pole widzenia?",D,dostęp brzuszny - nacięcie w linii środkowej.,dostęp brzuszny - nacięcie w linii przyśrodkowej.,dostęp brzuszny - nacięcie sposobem Pfannenstiela.,dostęp pochwowy.,dostęp laparoskopowy.,położnictwo_i_ginekologia,,,,
,18,Niewydolność cieśniowo-szyjkowa w wywiadzie jest wskazaniem do:,A,założenia profilaktycznego szwu okrężnego na szyjkę macicy.,założenia szwu okrężnego na szyjkę macicy przy wystąpieniu czynności skurczowej macicy do 28. tygodnia ciąży.,założenia ratunkowego szwu okrężnego na szyjkę macicy przy objawach infekcji pochwowej wraz z wdrożeniem antybiotykoterapii.,częstego monitorowania długości szyjki macicy w badaniu USG.,zalecenia diety bogatej w wapń w celu poprawy konsystencji szyjki macicy.,położnictwo_i_ginekologia,,,,
,20,W diagnostyce hiperandrogenizmu u 25-letniej kobiety wykorzystuje się oznaczanie:,B,stosunku LH do FSH.,testosteronu wolnego lub indeksu wolnych androgenów.,dihydrotestosteronu.,SHBG.,SHBG i dihydrotestosteronu.,położnictwo_i_ginekologia,,,,
,21,"Nieleczona niedokrwistość z niedoboru żelaza u kobiet ciężarnych może być przyczyną:
1) zahamowania wewnątrzmacicznego wzrostu płodu;
2) porodu przedwczesnego;
3) wydłużenia czasu trwania ciąży;
4) wad rozwojowych;
5) przedłużającego się porodu.
Prawidłowa odpowiedź to:",A,"1,2,4,5.","1,3,4,5.","1,2,3,4.","1,2,3,5.","3,4,5.",położnictwo_i_ginekologia,,,,
,22,"Do czynników wysokiego ryzyka rozwoju cukrzycy ciążowej należą:
1) otyłość ciężarnej (BMI > 30);
2) cukrzyca w rodzinie w pierwszym stopniu pokrewieństwa;
3) masa urodzeniowa noworodków w poprzednich ciążach > 4000 g;
4) wiek ciężarnej < 25 lat;
5) nieobciążony wywiad położniczy.
Prawidłowa odpowiedź to:",A,"1,2,3.","1,2,5.","2,3,4.","1,3,4.",wszystkie wymienione.,położnictwo_i_ginekologia,,,,
,23,Do charakterystycznych objawów raka szyjki macicy nie należą:,A,parcia naglące.,krwiste upławy o nieprzyjemnym zapachu.,krwawienia międzymiesiączkowe.,bóle podbrzusza.,krwawienia kontaktowe.,położnictwo_i_ginekologia,,,,
,24,Do nieprawidłowości w ułożeniu główki w czasie porodu nie należy:,E,niskie poprzeczne stanie główki.,wysokie proste stanie główki.,ustawienie potylicowe tylne.,położenie skośne.,ustawienie potylicowe przednie.,położnictwo_i_ginekologia,,,,
,25,W którym tygodniu ciąży podjednostka β-hCG osiąga najwyższe stężenie we krwi ciężarnej?,C,5-6 tydzień ciąży.,6-7 tydzień ciąży.,9-12 tydzień ciąży.,14-16 tydzień ciąży.,16-18 tydzień ciąży.,położnictwo_i_ginekologia,,,,
,26,Cechą charakterystyczną guzów granicznych jajnika jest:,A,brak destrukcyjnego naciekania podścieliska.,ograniczenie występowania wyłącznie do jajników.,rokowanie porównywalne jak w raku jajnika.,brak metod skutecznego leczenia.,występowanie wyłącznie u kobiet po menopauzie.,położnictwo_i_ginekologia,,,,
,27,"Podanie specyficznej immunoglobuliny jest niezbędne w przypadku kontaktu kobietyciężarnej, która wcześniej nie chorowała bądź nie była szczepiona, z chorymzakażonym wirusem:
1) wzw typu B;
2) CMV;
3) choroby piątej;
4) różyczki;
5) ospy wietrznej.
Prawidłowa odpowiedź to:",D,"1,3,5.","2,3,5.","2,3,4.","1,4,5.","4,5.",położnictwo_i_ginekologia,,,,
,28,"Mikroskopowa ocena materiału pobranego z tarczy części pochwowej i kanału szyjki macicy, zwana cytologią, służy do rozpoznawania stanów przedrakowych i raka szyjki macicy. W przypadku uzyskania nieprawidłowego wyniku cytologii - HSIL (high-gradesquamous intraepithelial lesion) - śródnabłonkowe zmiany dysplastyczne dużegostopnia, prawidłowym postępowaniem jest:",B,wykonanie powtórnej cytologii - dwa razy co 4-6 miesięcy.,wykonanie kolposkopii z pobraniem wycinków z podejrzanych miejsc oraz abrazjakanału szyjki macicy.,oznaczenie wirusa HPV.,wykonanie powtórnej cytologii i oznaczenie wirusa HPV.,żadne z powyższych.,położnictwo_i_ginekologia,,,,
,29,"64-letnia, otyła pacjentka zgłosiła się z objawami pomenopauzalnego krwawienia z drógrodnych. Pobrano rozmaz cytologiczny oraz wykonano przezpochwowe badanieultrasonograficzne, w trakcie którego stwierdzono przerost endometrium. Wykonanobiopsję błony śluzowej i uzyskano wynik badania histopatologicznego - gruczolakorak. Wynik badania cytologicznego był prawidłowy. Wykonano całkowite wycięcie macicy zprzydatkami oraz sampling węzłów chłonnych. W badaniu pooperacyjnym stwierdzonoobecność komórek gruczolakoraka w obrębie macicy (bez cech naciekania surowicówki) oraz kanału szyjki macicy w okolicy ujścia wewnętrznego, nie stwierdzonocech naciekania przydatków oraz nie wykazano przerzutów do węzłów chłonnych. Wskaż zaawansowanie nowotworu wg klasyfikacji FIGO:",C,IA.,IB.,II.,IIIA.,IIIB.,położnictwo_i_ginekologia,,,,
,30,"Do przyczyn występowania niewydolności cieśniowo-szyjkowej zalicza się:
1) zaburzenia wrodzone;
2) urazy szyjki macicy;
3) stan po konizacji szyjki macicy;
4) ciążę wielopłodową.
Prawidłowa odpowiedź to:",D,tylko 1.,"1,2.",tylko 4.,wszystkie wymienione.,żadna z wymienionych.,położnictwo_i_ginekologia,,,,
,31,"Mężczyzna lat 25 o prawidłowym fenotypie męskim jest diagnozowany z powoduniepłodności. Oprócz obniżonej liczby plemników w ejakulacie stwierdzono u niegoginekomastię, a w badaniach laboratoryjnych obniżone stężenie folitropiny, przy podwyższonym stężeniu testosteronu. Najbardziej prawdopodobną przyczyną powyższych zmian jest:",C,przebyta chemioterapia.,przebyta radioterapia.,stosowanie steroidów anabolicznych.,zespół Kallmanna.,zespół samych komórek Sertoliego.,położnictwo_i_ginekologia,,,,
,32,Jaki odsetek pacjentek z rozpoznanym rakiem jajnika jest nosicielem mutacji germinalnej BRCA1/BRCA2?,C,1%.,5%.,10%.,30%.,50%.,położnictwo_i_ginekologia,,,,
,33,"U kobiety ciężarnej będącej wegetarianką należy spodziewać się niedoboru witaminy:
1) B ;
2) B ;
3) D;
4) C;
5) E.
Prawidłowa odpowiedź to:",B,tylko 1.,tylko 2.,tylko 3.,"1,3,4,5.","1,2,4,5. 2 12",położnictwo_i_ginekologia,,,,
,34,Prawidłowy wiek wystąpienia menarche w Polsce określa się na:,B,8-9 lat.,9-16 lat.,16-17 lat.,>18 lat.,brak norm w tym zakresie.,położnictwo_i_ginekologia,,,,
,35,Infekcja wewnątrzmaciczna nie może spowodować:,A,zespołu Downa.,wodogłowia.,tachykardii płodu.,porodu przedwczesnego.,przedwczesnego pęknięcia błon płodowych.,położnictwo_i_ginekologia,,,,
,36,Wskaż fałszywe stwierdzenie dotyczące hiperprolaktynemii:,D,sen i stres są stanami fizjologicznymi związanymi ze zwiększonym wydzielaniemprolaktyny.,hiperprolaktynemia jest przyczyną 30% przypadków wtórnego braku miesiączki poodstawieniu doustnych środków antykoncepcyjnych.,lekiem stosowanym w terapii hiperprolaktynemii jest kabergolina i bromokryptyna.,następstwem hiperprolaktynemii są brak owłosienia łonowego oraz spadek wydzielania androgenów nadnerczowych.,mlekotok występuje u 30-90% kobiet z hiperprolaktynemią.,położnictwo_i_ginekologia,,,,
,37,"Ciężarna, lat 33, w 37. tygodniu drugiej ciąży zgłosiła się do poradni położniczo- ginekologicznej z powodu słabszego odczuwania ruchów płodu. Przebieg poprzedniej ciąży bez powikłań. W poradni wykonano badanie kardiotokograficzne - wynik reaktywny. Następnie wykonano w usg badanie profilu biofizycznego płodu, w trakciektórego stwierdzono normowodzie, 1 epizod ruchów oddechowych trwający 60 sekund, 3 ruchy tułowia płodu oraz dwukrotne zaciśnięcie i otworzenie dłoni. Wynik badaniaprofilu biofizycznego to:",E,2/10 punktów.,4/10 punktów.,6/10 punktów.,8/10 punktów.,10/10 punktów.,położnictwo_i_ginekologia,,,,
,38,"Wskazaniami do inseminacji są:
1) obniżone parametry nasienia;
2) zaburzenia ejakulacji;
3) PCOS;
4) endometrioza III stopnia;
5) niepłodność idiopatyczna.
Prawidłowa odpowiedź to:",D,"1,2,3.","1,2,3,4.","1,2,4,5.","1,2,5.","3,4,5.",położnictwo_i_ginekologia,,,,
,39,Jeśli u pacjentki leczonej z powodu ciąży ektopowej ok. 2-3 dni po podaniu metotreksatu pojawia się ból podbrzusza to należy:,D,otworzyć jamę brzuszną w trybie pilnym z cięcia podłużnego - objaw ten świadczy okrwotoku z powodu pęknięcia ciąży pozamacicznej.,wykonać laparoskopię w trybie pilnym - objaw ten świadczy o krwotoku z powodupęknięcia ciąży pozamacicznej.,otworzyć jamę brzuszną w trybie pilnym z cięcia poprzecznego - objaw ten świadczyo krwotoku z powodu pęknięcia ciąży pozamacicznej.,pozostawić pacjentkę w obserwacji monitorując spadek hCG - taki ból to typowyobjaw leczenia metotreksatem.,"wypisać pacjentkę do domu informując, że ból związany jest najprawdopodobniej zowulacją.",położnictwo_i_ginekologia,,,,
